ID;Maquina;NumMaquina;Marca;OrdemReparacao;Actualizada;Avaria1;Avaria2;Avaria3;Avaria4;Avaria5;Avaria6;Avaria7;Avaria8;Avaria9;Avaria10;Avaria11;Avaria12;Avaria13;Avaria14;Avaria15;Avaria16;Avaria17;Avaria18;Avaria19;Avaria20;Avaria21;Avaria22;Avaria23;Avaria24;Avaria25;Avaria26;Avaria27;Avaria28;Avaria29;Avaria30;Extra1;Extra2;Extra3;Observacoes;DataTime;Acessorios;Tipo;ModeloElectrex;IntExt;Utilizador;Cliente;Link;LinkCheck;ModeloCheck
19;OUTRA;01114236;Helvi TIG 250 AC/DC;20102905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EUROTIG 250AC/DC. Testado a soldar. Durante os nossos testes de soldadura não se verificou qualquer defeito no fucionamento da máquina. Todos os parametros estão dentro dos valores recomendados.;09-11-2010 14:16:36;;;;;;;;;
20;E190;012002;electrex;20102892;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;diodos transientes queimados.;09-11-2010 16:00:58;;;;;;;;;
26;OUTRA;0000117971;EWM;20102906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TETRIX 270AC/DC. Testado a soldar. Não se verificou qualquer defeito da máquina. Todos os parametros estão dentro dos valores recomendados. Durante os testes nunca apareceu a menssagem de erro como o cliente se queixava.;09-11-2010 16:51:39;;;;;;;;;
27;E230TP;709107;Acess;20102908;Sim;;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;potenciometro partido Actualização de micro controlador;10-11-2010 10:28:58;;;;;;;;;
28;E160TP;602050;Electrex;20102913;Sim;IGBT;;Relé 48VDC;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Potencia queimada. não foi possivel avaliar a causa da avaria;10-11-2010 12:26:04;;;;;;;;;
30;E230TP;736109;Acess;20102930;Sim;;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;Actualização de micro controlador. Testado a soldar durante os nossos testes de soldadura não se verificou qualquer defeito no funcionamento da máquina. todos os parametros estão dentro dos valores recomendados.;11-11-2010 9:30:56;;;;;;;;;
31;E160TP;602050;Electrex;20102913;Sim;IGBT;;Relé 48VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potencia queimada;11-11-2010 9:34:21;;;;;;;;;
32;E160;530110;Electrex;20102912;Sim;;Ponte;Relé 48VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ponte queimada,relé avariado;11-11-2010 10:13:07;;;;;;;;;
33;E230TP;000000000;Acess;20102931;Não;;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;"Esta máquina chegou-nos toda desmantelada internamente
Actualização";11-11-2010 11:47:57;;;;;;;;;
34;E160TP;739312;Electrex;20102929;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Testado a soldar , e durante os nossos testes não se verificou qualquer  defeito na soldadura.;11-11-2010 13:43:50;;;;;;;;;
35;E160;48061;Electrex;20102936;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Interruptor avariado , reforço de soldas;11-11-2010 13:50:02;;;;;;;;;
36;E160;000000;Modulo assistencia;20102932;Sim;;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ponte queimada;11-11-2010 14:48:27;;;;;;;;;
